Id,Price
725,287291.35634209675
15856,259613.96538400126
5480,200632.78304398895
15664,330546.20027144445
14275,314762.5955529375
7633,329387.9052812746
13329,321638.1108293824
5502,287318.0001974593
4220,318370.18964922696
11538,313408.19324711506
15975,279276.0480685406
3310,320461.4839849159
9286,286344.39121933084
11260,260499.8097092372
5214,263912.2464630807
11307,285738.7297176223
13543,260422.55601676673
615,298992.3933009578
3495,321736.2837052165
2321,268539.8788189569
12046,324519.86811374174
16688,289469.77287988196
12694,262472.655630331
783,260267.08836564084
8968,265707.08886884875
13454,261504.8211641281
12190,285035.7636522255
11160,259761.1078390437
10291,288269.98880892055
891,312229.66668677627
2982,264311.1346012283
3818,258279.92358097245
2449,263238.91090841574
8317,288644.8343246044
4922,284326.01661612565
1257,281785.9357097929
9348,260091.60183776452
4176,233514.19108066536
10704,326101.27437149716
6624,294456.5835739411
5428,250645.23732292425
12749,259896.66754079494
8994,285746.6213217353
11513,321355.8951912193
3047,320649.3620763649
9519,241716.88196926893
12309,260882.6253464707
14081,301630.73340752797
8334,317889.99724074063
6343,284791.8406113913
14788,320461.4839849159
15748,223140.6360271754
153,281201.3895546368
14149,312258.8738872911
269,266911.2338149629
5452,219641.60822249693
721,262095.12211202085
5079,284163.77175860753
2831,282436.77770078386
10614,264568.14814141265
10131,313599.5674428798
9996,296500.795110349
3061,332273.8428587772
11733,321271.0530306473
3726,243611.76371938188
10929,325857.26897472405
9011,345350.67703382013
16182,282470.3658055418
4976,280044.9848518757
9897,297819.2719071308
1872,319823.3066105558
9205,259507.0248340429
5403,258979.79137457273
14074,283696.7720997093
6268,320050.79064101016
14232,282151.4614000487
8532,317949.1555349432
7034,260882.6253464707
6553,259593.8687565209
3133,263628.02523936424
8596,280433.63394291734
12389,312829.5255809629
14462,314762.5955529375
8860,292398.2114058214
8377,281899.41677901364
6367,294908.11514185934
6917,284388.7776939417
4216,317660.61677071726
5806,313070.2606599106
5438,290623.6742545753
6632,261439.69642949672
2650,287812.76272616367
5396,317689.82397123217
4044,280282.13264331775
1345,279059.7424741009
856,282747.0982684833
12791,283416.26986632816
12499,315258.4771895038
12249,314762.5955529375
14641,318111.3390120611
1919,262552.8206159129
7848,334474.38140820916
10749,264968.30310663703
15554,268730.7862918644
15834,285037.90328508423
1355,285904.1895063438
15451,333908.10626314505
12401,273678.0253900664
10290,281253.0020956608
9462,319609.6153686124
3103,320195.0253117083
3420,285439.7870512664
12262,315970.04112767277
5032,259507.0248340429
8949,318789.560692632
15567,284103.02282028133
16389,287644.2249341118
7809,266126.1559939928
8990,282951.09702167136
16089,261222.65683513827
12743,262986.1362859633
5132,264311.1346012283
1619,323249.8264791736
2428,265925.5977807518
16741,279463.4867158931
13193,268720.97227484494
12588,279747.9876951916
5067,263628.02523936424
14685,314762.5955529375
2292,283255.0116831781
5746,264719.78417947993
12578,321795.6790139908
14834,265244.3417035945
2147,288269.98880892055
8222,314762.5955529375
10419,278632.7400039676
11492,283104.94601827726
3006,283216.5228175463
8761,280320.4860224095
15371,292360.708882865
16367,306048.56785160216
6317,320044.6422982066
10878,266756.95268944127
3895,280068.44140137435
8041,279919.8511448933
13428,300777.24208129046
14669,286030.3243390348
1006,272612.20509735326
12271,320461.4839849159
3764,233514.19108066536
7675,280990.1616795996
11709,332273.8428587772
8629,292361.41827122384
1105,258965.79788550045
6096,282055.83575511636
11727,315472.1684314472
5157,215052.237964711
3679,332273.8428587772
1755,311011.35345796146
7391,286205.8810102098
7425,308559.86811694584
6882,285682.20863718854
10752,267249.3243896917
7472,256188.00182059448
14320,321102.4528644744
9596,314762.5955529375
5317,317949.1555349432
7378,266862.72007015377
16154,319120.82544542133
3464,261347.25297951966
4197,285729.6883224535
9477,327143.8090760253
12705,259878.78665045745
16426,314646.3527136203
1481,285504.99482999684
9946,320948.0533082664
12025,260882.6253464707
5341,282962.2916970002
9923,267920.29645019234
7953,286444.972548976
11066,307111.92775297014
5037,288112.4206243121
